from_library,to_library,count,daily_average
DEE,MSB,47,0.734375
DEE,MTH,104,1.625
DEE,NEK,7,0.109375
DEE,NGL,29,0.453125
DEE,NOF,5,0.078125
DEE,ORE,144,2.25
DEE,PAR,6,0.09375
DEE,PDS,54,0.84375
DEE,PIN,244,3.8125
DEE,PLA,7,0.109375
DEE,PLO,38,0.59375
DEE,POR,46,0.71875
DEE,POY,31,0.484375
DEE,RAN,8,0.125
DEE,REE,50,0.78125
DEE,RIO,3,0.046875
DEE,RKS,0,0
DEE,ROM,21,0.328125
DEE,ROS,19,0.296875
DEE,SCA,0,0
DEE,SCL,0,0
DEE,SEQ,375,5.859375
DEE,SGR,21,0.328125
DEE,SKC,27,0.421875
DEE,SMB,40,0.625
DEE,STO,151,2.359375
DEE,STP,109,1.703125
DEE,SUN,410,6.40625
DEE,VER,356,5.5625
DEE,WAU,389,6.078125
DEE,WID,32,0.5
DEE,WYO,1,0.015625
DEE,ZZZ,11,0.171875
DEE,UNDEF,0,0
DFT,ACL,78,1.21875
DFT,ALM,2,0.03125
DFT,ARP,32,0.5
DFT,BAR,236,3.6875
DFT,BER,69,1.078125
DFT,BLV,115,1.796875
DFT,BRD,49,0.765625
DFT,CBR,396,6.1875
DFT,CIA,20,0.3125
DFT,COL,65,1.015625
DFT,CSP,161,2.515625
DFT,DCL,93,1.453125
DFT,DEE,409,6.390625
DFT,DFT,33350,521.09375
DFT,FCH,997,15.578125
DFT,HAW,390,6.09375
DFT,HPB,591,9.234375
DFT,LAK,434,6.78125
DFT,LAV,16,0.25
DFT,LDI,89,1.390625
DFT,MAD,580,9.0625
DFT,MAR,63,0.984375
DFT,MAZ,299,4.671875
DFT,MCF,505,7.890625
DFT,MCM,351,5.484375
DFT,MEA,351,5.484375
DFT,MFD,10,0.15625
DFT,MID,1326,20.71875
DFT,MNT,20,0.3125
DFT,MOO,475,7.421875
DFT,MRO,224,3.5
DFT,MRS,0,0
DFT,MSB,192,3
DFT,MTH,352,5.5
DFT,NEK,42,0.65625
DFT,NGL,65,1.015625
DFT,NOF,13,0.203125
DFT,ORE,476,7.4375
DFT,PAR,26,0.40625
DFT,PDS,152,2.375
DFT,PIN,786,12.28125
DFT,PLA,37,0.578125
DFT,PLO,116,1.8125
DFT,POR,109,1.703125
DFT,POY,54,0.84375
DFT,RAN,13,0.203125
DFT,REE,183,2.859375
DFT,RIO,21,0.328125
DFT,RKS,10,0.15625
DFT,ROM,29,0.453125
DFT,ROS,30,0.46875
DFT,SCA,2,0.03125
DFT,SCL,0,0
DFT,SEQ,1138,17.78125
DFT,SGR,77,1.203125
DFT,SKC,88,1.375
DFT,SMB,163,2.546875
DFT,STO,480,7.5
DFT,STP,374,5.84375
DFT,SUN,1157,18.078125
DFT,VER,1130,17.65625
DFT,WAU,873,13.640625
DFT,WID,94,1.46875
DFT,WYO,0,0
DFT,ZZZ,16,0.25
DFT,UNDEF,0,0
FCH,ACL,60,0.9375
FCH,ALM,5,0.078125
FCH,ARP,27,0.421875
FCH,BAR,280,4.375
FCH,BER,84,1.3125
FCH,BLV,183,2.859375
FCH,BRD,85,1.328125
FCH,CBR,120,1.875
FCH,CIA,22,0.34375
FCH,COL,122,1.90625
FCH,CSP,205,3.203125
FCH,DCL,183,2.859375
FCH,DEE,191,2.984375
FCH,DFT,440,6.875
FCH,FCH,48727,761.359375
FCH,HAW,554,8.65625
FCH,HPB,758,11.84375
FCH,LAK,570,8.90625
FCH,LAV,8,0.125
FCH,LDI,147,2.296875
FCH,MAD,672,10.5
FCH,MAR,101,1.578125
FCH,MAZ,67,1.046875
FCH,MCF,1747,27.296875
FCH,MCM,279,4.359375
FCH,MEA,508,7.9375
FCH,MFD,8,0.125
FCH,MID,2805,43.828125
FCH,MNT,24,0.375
FCH,MOO,790,12.34375
FCH,MRO,264,4.125
FCH,MRS,4,0.0625
FCH,MSB,291,4.546875
FCH,MTH,580,9.0625
FCH,NEK,38,0.59375
FCH,NGL,147,2.296875
FCH,NOF,20,0.3125
FCH,ORE,736,11.5
